Date,Manufacturer,Vehicle_Type,Registrations
2022-01-01,Honda,2W,116007
2022-01-01,Hero MotoCorp,2W,242505
2022-01-01,TVS,2W,284936
2022-01-01,Bajaj,2W,166127
2022-01-01,Bajaj Auto,3W,15355
2022-01-01,Piaggio,3W,12726
2022-01-01,Mahindra,3W,5082
2022-01-01,Maruti Suzuki,4W,69214
2022-01-01,Hyundai,4W,76614
2022-01-01,Tata Motors,4W,68375
2022-01-01,Mahindra,4W,58369
2022-02-01,Honda,2W,135351
2022-02-01,Hero MotoCorp,2W,187968
2022-02-01,TVS,2W,212106
2022-02-01,Bajaj,2W,193799
2022-02-01,Bajaj Auto,3W,7883
2022-02-01,Piaggio,3W,5657
2022-02-01,Mahindra,3W,5680
2022-02-01,Maruti Suzuki,4W,107952
2022-02-01,Hyundai,4W,102978
2022-02-01,Tata Motors,4W,81314
2022-02-01,Mahindra,4W,68629
2022-03-01,Honda,2W,229176
2022-03-01,Hero MotoCorp,2W,102562
2022-03-01,TVS,2W,101279
2022-03-01,Bajaj,2W,113285
2022-03-01,Bajaj Auto,3W,6966
2022-03-01,Piaggio,3W,9170
2022-03-01,Mahindra,3W,19417
2022-03-01,Maruti Suzuki,4W,107099
2022-03-01,Hyundai,4W,76513
2022-03-01,Tata Motors,4W,101380
2022-03-01,Mahindra,4W,107106
2022-04-01,Honda,2W,147016
2022-04-01,Hero MotoCorp,2W,157713
2022-04-01,TVS,2W,294618
2022-04-01,Bajaj,2W,229483
2022-04-01,Bajaj Auto,3W,14324
2022-04-01,Piaggio,3W,8129
2022-04-01,Mahindra,3W,9677
2022-04-01,Maruti Suzuki,4W,149688
2022-04-01,Hyundai,4W,125682
2022-04-01,Tata Motors,4W,103490
2022-04-01,Mahindra,4W,145256
2022-05-01,Honda,2W,150369
2022-05-01,Hero MotoCorp,2W,151396
2022-05-01,TVS,2W,197725
2022-05-01,Bajaj,2W,218165
2022-05-01,Bajaj Auto,3W,10799
